geometry;bus;p_nom
POINT (6.674675320616901 51.3249574728255);DE0 7;15.839313333990285
POINT (6.85153113794826 50.9841704680083);DE0 7;142.85714142857142
POINT (9.1907874369222 48.914416873799);DE0 8;142.85714142857142
POINT (12.1320699705054 54.14245987564);DE0 5;142.85714142857142
POINT (8.98953614977701 50.0602550608281);DE0 2;142.85714142857142
POINT (8.624800528150361 51.4278883849265);DE0 0;142.85714142857142
POINT (7.98506745761923 50.8422254447013);DE0 7;142.85714142857142
POINT (12.5182220968156 51.1570725850832);DE0 3;47.468113186854346
POINT (14.5081091811329 51.4137103812427);DE0 5;20.220979050218823
POINT (8.95870856177306 50.0826078105489);DE0 2;142.85714142857142
POINT (14.9464972856333 51.06258621596189);DE0 5;142.85714142857142
POINT (11.193727795361 50.1622144406172);DE0 9;19.084739648676027
POINT (12.4696440085589 51.3716629493371);DE0 3;16.26115071640284
POINT (12.2488239057592 51.1978824277899);DE0 3;142.85714142857142
POINT (13.3686584616208 52.5031422115792);DE0 5;41.57819750109845
POINT (8.43846751211921 49.2524597288652);DE0 2;16.261150716697223
POINT (8.4413154852023 49.2514026469585);DE0 2;142.85714142857142
POINT (7.607116121544559 51.89860460291929);DE0 0;18.66290226606682
POINT (10.1602912689993 49.9891947837947);DE0 9;125.43869490618661
POINT (9.090517548688869 49.9700413735997);DE0 2;142.85714142857142
POINT (8.93221843866486 52.1933124298166);DE0 0;142.85714142857142
POINT (8.954644121337472 50.08601573332651);DE0 2;142.85714142857142
POINT (10.231641549556 48.5297622792522);DE0 8;142.85714142857142
POINT (8.809623309058859 50.2034748086043);DE0 2;142.85714142857142
POINT (8.62886493303814 51.99363407072129);DE0 0;142.85714142857142
POINT (10.0604081018258 54.34877082015839);DE0 4;142.8571414285715
POINT (9.72699196993402 54.2914209867842);DE0 4;142.85714142857142
POINT (9.09183529743294 49.2946188662059);DE0 2;17.104825481718773
POINT (8.663783158072329 49.3600873718872);DE0 2;15.124911315055792
POINT (9.25103425143703 53.1144323051271);DE0 4;142.85714142857142
POINT (8.47470704898602 53.42865119431379);DE0 0;142.85714142857142
POINT (8.24872901623214 48.84631651890671);DE0 6;142.85714142857142
POINT (9.449636526661141 53.967286497351);DE0 4;142.85714142857142
POINT (9.34400177215961 53.8517774635399);DE0 4;14.285702806122451
POINT (11.4703941249156 50.93039022947229);DE0 3;142.85714142857142
POINT (14.0336963684666 53.5078685980791);DE0 5;142.85714142857142
POINT (7.1255729106725 51.44897725881449);DE0 7;142.85714142857157
POINT (7.416707911958469 51.45705215834759);DE0 7;30.12054988373033
POINT (6.612402315309559 51.0359242594819);DE0 7;142.85714142857142
POINT (6.963305454036781 50.83376291775821);DE0 7;127.122089019926
POINT (7.0473845241055 50.9055286094924);DE0 7;142.85714142857142
POINT (9.14517687189382 52.8532464360106);DE0 4;34.33000019013509
POINT (8.31888925383353 52.0660374597241);DE0 0;14.703073932544715
POINT (7.93077008561427 51.6729710197069);DE0 0;142.85714142857142
POINT (9.92382983732643 51.89756176155289);DE0 4;67.84375932276244
POINT (10.0876467999739 52.3151305547947);DE0 4;22.842631975284448
POINT (10.7027318899547 47.8264597977002);DE0 1;48.7834521490127
POINT (10.1949334440241 47.9709368782958);DE0 8;142.85714142857142
POINT (9.22808874457675 51.8124533663924);DE0 0;142.85714142857157
POINT (8.735135733671429 50.15919154035421);DE0 2;25.73888416769742
POINT (10.1575015165126 53.5551316685834);DE0 4;141.63493612864693
POINT (13.2115276454389 52.5806278102291);DE0 5;16.26115071640303
POINT (13.1433929102518 53.90814697742189);DE0 5;132.71723399054082
POINT (11.8531057080136 53.0865444750041);DE0 5;142.85714142857142
POINT (8.82002487241632 53.10738829188151);DE0 0;15.124911315055845
POINT (8.14191382633093 53.5640011680095);DE0 0;58.095288493680535
POINT (7.27715391322869 52.7532425946802);DE0 0;14.285702806122451
POINT (12.2147735096776 54.1003234403618);DE0 5;75.53121457175162
POINT (7.35135784054859 51.568368608134);DE0 7;18.241064883458108
POINT (7.01293742640329 50.6176584938251);DE0 7;142.8571414285715
POINT (7.338612586140809 51.63197812504271);DE0 7;142.85714142857142
POINT (6.96734393053748 51.49086188642649);DE0 7;14.285702806122451
POINT (6.720310000555969 51.3915325380171);DE0 7;142.85714142857157
POINT (6.7111452744645 51.52618754906629);DE0 7;142.85714142857142
POINT (6.68306568260248 51.577104777735);DE0 7;142.85714142857142
POINT (6.745416766753171 51.49864194804339);DE0 7;15.83931333389221
POINT (8.06573796639762 50.4060681118621);DE0 2;142.85714142857142
POINT (7.71459453349968 51.6730996381138);DE0 0;142.85714142857142
POINT (6.92013045452502 49.9705818904706);DE0 7;88.25050789099414
POINT (7.43348911422107 50.4365195361077);DE0 7;142.85714142857142
POINT (7.59330184856855 50.3859437917469);DE0 7;142.85714142857142
POINT (8.65659923594081 50.6055491256016);DE0 2;142.85714142857142
POINT (14.2192282929357 51.120707992198);DE0 5;17.104825481914823
POINT (9.774150438341561 50.5287496465011);DE0 9;142.85714142857142
POINT (9.44691867105201 49.5902629324336);DE0 2;30.671660012524427
POINT (12.7474442277007 48.1487558434787);DE0 1;19.084739648479733
POINT (11.3269526751765 49.39347311763601);DE0 1;39.33266556031039
POINT (6.766015645209349 49.3600771523749);DE0 7;142.85714142857142
POINT (7.5913598406626 51.928441667004);DE0 0;142.85714142857142
POINT (8.45154437251894 49.00740291300571);DE0 2;142.85714142857142
POINT (8.8139941935628 51.9834366294197);DE0 0;49.03904188438991
POINT (10.9729038959004 49.55850737567371);DE0 1;142.8571414285715
