geometry;bus;p_nom
POINT (9.52257596986262 52.36040905576009);DE0 4;14.285702806122451
POINT (9.34476098807139 53.9218370583068);DE0 4;46.08020345202338
POINT (7.03761988504233 51.5985496311832);DE0 7;132.4382940436193
POINT (7.23319684331545 51.2325069075148);DE0 7;104.21211630860765
POINT (7.12308195236379 51.1715887782054);DE0 7;78.18960001517847
POINT (9.42551238607291 48.0643507981263);DE0 8;43.803258405425815
POINT (12.8139099116529 50.85791851143971);DE0 3;16.6829880993061
POINT (8.95870856177306 50.0826078105489);DE0 2;16.6829880993061
POINT (9.151353949908561 49.1433834119236);DE0 8;14.285702806122451
POINT (9.704231498993211 48.465063732143);DE0 8;17.81922750084939
POINT (12.2208353620671 48.58573298765321);DE0 1;22.62273059958846
POINT (12.2488239057592 51.1978824277899);DE0 3;30.120549884024168
POINT (11.7924138446413 48.8382240226632);DE0 1;18.66290226606649
POINT (8.43846751211921 49.2524597288652);DE0 2;21.064653815437072
POINT (8.4413154852023 49.2514026469585);DE0 2;17.81029498847641
POINT (7.607116121544559 51.89860460291929);DE0 0;17.095892969542074
POINT (9.821583802291538 52.4248552546066);DE0 4;14.703073932545065
POINT (9.090517548688869 49.9700413735997);DE0 2;19.923948157707123
POINT (8.959044132190881 52.2784949764899);DE0 0;17.5266628645237
POINT (9.49151079250535 53.65809828068811);DE0 4;18.24106488345826
POINT (9.72699196993402 54.2914209867842);DE0 4;14.285702806122451
POINT (8.663783158072329 49.3600873718872);DE0 2;18.236598627272
POINT (8.87294280487974 48.3100912582216);DE0 8;14.285702806122451
POINT (7.31136229105814 53.1257665563186);DE0 0;19.084739648675487
POINT (7.00877914033175 51.1742549180397);DE0 7;14.285702806122451
POINT (6.80890624663756 51.2686075940546);DE0 7;14.285702806122451
POINT (7.2789471130269 51.4722816773138);DE0 7;14.285702806122451
POINT (6.57729057687864 51.5563911802085);DE0 7;16.261150716697223
POINT (7.9939591196577 51.82309543418899);DE0 0;17.81922750084897
POINT (10.0876467999739 52.3151305547947);DE0 4;14.285702806122451
POINT (8.87225963914833 50.1297253197387);DE0 2;14.285702806122451
POINT (10.3859411643633 51.0018133014781);DE0 9;29.401681608902635
POINT (10.9772332275028 52.16943331767071);DE0 3;14.703073932544196
POINT (8.69516075602312 53.0925360847799);DE0 0;14.285702806122451
POINT (6.48812326381716 50.8810703125704);DE0 7;14.285702806122451
POINT (6.72365237186396 51.37584581090201);DE0 7;28.56247309987236
POINT (7.403544434063099 51.64444948796699);DE0 7;15.537816185390284
POINT (8.273278146181179 49.02939809163961);DE0 2;14.285702806122451
POINT (10.391776056934 48.51846091176679);DE0 8;18.6629022660657
POINT (6.70228540768092 49.8289944201161);DE0 7;14.285702806122451
POINT (6.801823657096901 51.12478806062411);DE0 7;22.618264343402963
